============================================================================
Killed Units: 244
Td    ID    Tj    Df    Dd    Db    
2     2001  1     0     1     1     
5     2002  1     0     4     4     
6     2005  5     0     1     1     
8     2004  4     1     3     4     
9     2010  9     0     0     0     
10    2003  4     0     6     6     
10    2006  5     1     4     5     
10    2009  9     0     1     1     
11    2011  10    0     1     1     
11    2013  11    0     0     0     
11    2008  7     0     4     4     
11    2012  10    0     1     1     
12    1     1     0     11    11    
12    11    10    2     0     2     
13    12    10    3     0     3     
15    22    15    0     0     0     
16    6     5     2     9     11    
17    2021  15    0     2     2     
20    2026  17    0     3     3     
21    26    17    4     0     4     
22    2028  19    0     3     3     
23    2030  21    0     2     2     
23    25    17    3     3     6     
24    2016  12    1     11    12    
24    34    23    0     1     1     
25    2019  14    2     9     11    
25    2034  23    0     2     2     
25    2031  22    0     3     3     
26    2014  11    0     15    15    
26    2022  15    2     9     11    
27    2017  13    2     12    14    
27    2037  25    0     2     2     
28    2039  26    0     2     2     
28    2041  27    0     1     1     
29    2023  16    3     10    13    
30    2007  7     1     22    23    
31    2025  17    4     10    14    
31    2046  30    0     1     1     
32    2018  13    2     17    19    
32    2015  12    1     19    20    
32    2047  31    0     1     1     
33    19    14    2     17    19    
33    49    32    1     0     1     
34    2051  33    0     1     1     
34    41    27    2     5     7     
35    2020  14    2     19    21    
35    2052  33    0     2     2     
35    42    27    3     5     8     
38    2033  23    5     10    15    
39    2024  16    3     20    23    
39    35    24    2     13    15    
39    46    30    5     4     9     
41    2029  21    4     16    20    
41    2048  31    5     5     10    
41    2042  27    4     10    14    
46    2058  46    0     0     0     
46    4     4     1     41    42    
48    2035  24    5     19    24    
48    2036  24    5     19    24    
48    2060  47    0     1     1     
49    2059  47    0     2     2     
50    2055  41    4     5     9     
52    2043  28    5     19    24    
52    2068  51    0     1     1     
52    2064  49    0     3     3     
52    2062  48    0     4     4     
52    67    51    0     1     1     
53    2067  51    0     2     2     
53    2066  50    0     3     3     
53    43    28    4     21    25    
54    2054  35    5     14    19    
54    2072  53    0     1     1     
55    2032  22    5     28    33    
55    24    16    2     37    39    
55    3     4     1     50    51    
55    44    28    5     22    27    
56    2049  32    5     19    24    
56    2044  28    5     23    28    
56    2076  55    0     1     1     
56    2070  52    0     4     4     
56    50    32    6     18    24    
57    2061  48    5     4     9     
57    2027  19    4     34    38    
58    2045  30    4     24    28    
59    2038  25    5     29    34    
59    2079  58    0     1     1     
60    2040  26    5     29    34    
60    2080  58    0     2     2     
60    31    22    2     36    38    
60    56    41    2     17    19    
60    63    49    3     8     11    
61    2050  32    5     24    29    
64    65    50    4     10    14    
66    2069  52    4     10    14    
67    2053  35    5     27    32    
67    85    66    0     1     1     
68    2056  41    4     23    27    
68    2087  67    0     1     1     
68    2089  68    0     0     0     
68    79    58    5     5     10    
68    78    56    2     10    12    
69    2088  67    0     2     2     
69    2086  66    0     3     3     
69    2083  65    0     4     4     
70    86    66    4     0     4     
71    62    48    1     22    23    
71    92    71    0     0     0     
72    89    68    4     0     4     
73    2093  72    0     1     1     
74    2091  71    0     3     3     
74    71    53    3     18    21    
74    87    67    3     4     7     
76    2071  53    4     19    23    
77    83    65    3     9     12    
78    47    31    4     43    47    
78    38    25    2     51    53    
78    15    12    3     63    66    
79    2057  46    4     29    33    
79    81    62    5     12    17    
81    66    50    4     27    31    
83    99    78    5     0     5     
83    72    53    3     27    30    
84    2109  83    0     1     1     
86    2075  55    5     26    31    
86    2077  56    5     25    30    
86    96    73    4     9     13    
88    2081  62    3     23    26    
88    2092  71    4     13    17    
88    2105  81    7     0     7     
92    2063  49    4     39    43    
92    2112  91    0     1     1     
93    2095  73    4     16    20    
94    2096  73    5     16    21    
94    2090  68    5     21    26    
95    2102  79    7     9     16    
95    2113  93    0     2     2     
95    64    49    3     43    46    
96    2078  56    5     35    40    
96    2106  81    7     8     15    
97    2114  93    0     4     4     
98    97    76    4     18    22    
99    94    72    3     24    27    
100   95    73    4     23    27    
100   117   100   0     0     0     
100   111   91    0     9     9     
101   2100  78    6     17    23    
101   116   99    2     0     2     
101   112   91    0     10    10    
102   2084  65    4     33    37    
102   2117  100   0     2     2     
103   2085  66    5     32    37    
103   2107  82    7     14    21    
104   91    71    4     29    33    
105   2111  91    8     6     14    
105   2094  72    4     29    33    
105   2110  83    8     14    22    
105   2118  100   5     0     5     
105   2073  54    4     47    51    
105   2074  54    4     47    51    
105   2099  78    6     21    27    
105   2065  50    4     51    55    
105   2101  79    6     20    26    
105   2103  80    7     18    25    
105   2104  80    7     18    25    
106   2082  62    4     40    44    
106   2108  82    8     16    24    
107   2098  76    6     25    31    
107   105   81    4     22    26    
108   2097  76    6     26    32    
108   2120  107   0     1     1     
108   2119  107   0     1     1     
108   118   100   2     6     8     
109   2122  108   1     0     1     
109   2116  99    6     4     10    
110   2125  110   0     0     0     
110   2123  109   0     1     1     
111   2115  99    6     6     12    
113   2121  108   0     5     5     
113   2127  111   1     1     2     
114   2124  109   2     3     5     
114   2126  110   1     3     4     
114   2129  113   0     1     1     
114   2130  113   0     1     1     
115   122   108   2     5     7     
116   2131  114   0     2     2     
116   98    76    37    3     40    
117   2134  115   0     2     2     
117   2136  116   0     1     1     
118   2132  114   1     3     4     
118   2138  117   0     1     1     
119   2128  111   1     7     8     
119   2139  119   0     0     0     
119   121   108   1     10    11    
119   132   114   5     0     5     
120   2133  115   0     5     5     
120   133   115   5     0     5     
121   2142  120   0     1     1     
121   2135  116   0     5     5     
122   2137  117   1     4     5     
124   2144  122   0     2     2     
124   2141  120   0     4     4     
124   124   109   3     12    15    
125   2143  122   0     3     3     
125   130   113   5     7     12    
126   2148  125   0     1     1     
127   2149  126   0     1     1     
127   136   116   5     6     11    
127   148   125   0     2     2     
128   2140  119   0     9     9     
128   2151  127   0     1     1     
128   144   122   6     0     6     
128   142   120   0     8     8     
129   2152  127   0     2     2     
130   137   117   6     7     13    
131   2150  126   1     4     5     
131   107   82    4     45    49    
132   2147  125   1     6     7     
133   2145  123   1     9     10    
133   2153  128   1     4     5     
134   2155  132   0     2     2     
134   120   107   0     27    27    
135   2146  123   1     11    12    
135   2154  128   2     5     7     
136   2156  132   0     4     4     
137   2158  136   0     1     1     
137   135   116   5     16    21    
138   2159  137   0     1     1     
138   126   110   5     23    28    
138   123   109   0     29    29    
138   108   82    31    25    56    
140   2157  136   0     4     4     
140   2160  137   0     3     3     
141   2163  140   0     1     1     
141   2164  140   0     1     1     
141   149   126   6     9     15    
142   2166  142   0     0     0     
146   2172  146   0     0     0     
146   128   111   5     30    35    
147   146   123   6     18    24    
147   138   117   6     24    30    
148   2167  143   1     4     5     
148   2170  145   0     3     3     
150   2165  142   1     7     8     
150   2174  147   0     3     3     
============================================================================
Battle result: Draw!
============================================================================
Total Earth Army Units Alive: 
ES    ET    EG    
20    28    38    

Percentage Of Destructed Earth Units Relative To Their Total: 
ES    ET    EG    
73    36    0     

Percentage Of Earth Units Healed Relative To Their Total: 5

Percentage Of Total Destructed Earth units Relative To Total Earth Units: 46

Average of Df,Dd & Db for Earth Units:
DfAVG DdAVG DbAVG 
